file,line,category,severity,effort_hours,description
src/features/workout/stores/workoutStore.ts,210,correctness,high,2,"Bug 4.2: INSERT ciego de ejercicio custom duplica ante respuesta perdida (fix en curso: resolveOrCreateExercise)"
src/shared/lib/workoutOutbox.ts,103,correctness,high,0,"Mismo bug 4.2 duplicado en flushWorkoutOutbox (se resuelve con la función compartida)"
package.json,0,dependencies,high,0.1,"@dnd-kit/utilities importado en SortableExerciseList.tsx:17 pero no declarado en package.json"
src/features/stats/pages/HistoryPage.tsx,1,architecture,medium,8,"1316 líneas, viola SRP — refactor en sesión dedicada"
src/features/stats/pages/StatsPage.tsx,1,architecture,medium,6,"1027 líneas — refactor en sesión dedicada"
src/features/workout/pages/WorkoutPage.tsx,1,architecture,medium,4,"812 líneas + churn 34 — refactor en sesión dedicada"
src/features/stats/pages/UserStatsPage.tsx,1,architecture,medium,4,"757 líneas — refactor en sesión dedicada"
src/features/cardio/stores/cardioStore.ts,1,testing,medium,3,"Sin tests pese a contener el bug principal 4.1 (fix aplicado; regresión en curso)"
src/features/stats/utils/excelExport.ts,1,testing,medium,2,"Cobertura 42.9% líneas"
src/features/stats/utils/kpiCalculations.ts,82,testing,medium,1,"Cobertura 51.3% líneas (ramas 34.6%)"
src/features/stats/utils/historyHelpers.ts,15,testing,medium,1,"Cobertura 22.2% líneas"
node_modules/exceljs,0,security,moderate,0,"uuid <11.1.1 (2 advisories moderate); único fix es downgrade breaking a exceljs@3.4 — vigilar upstream"
eslint.config.js,33,accessibility,low,0.5,"Reglas críticas jsx-a11y en warn (alt-text, click-events-have-key-events, interactive-supports-focus) — subir a error"
public/sw-custom.js,1,dead-code,low,0.5,"Archivo sin uso según knip (verificar antes de borrar)"
scripts/icon-preview.mjs,1,dead-code,low,0.1,"Script huérfano según knip"
scripts/optimize-images.mjs,1,dead-code,low,0.1,"Script huérfano según knip"
supabase/functions/send-push/index.ts,1,dead-code,low,0.5,"Edge function sin referencia en código cliente según knip (puede desplegarse aparte — verificar)"
src/shared/components/ui/index.ts,3,dead-code,low,1,"39 exports + 29 tipos sin uso según knip (EmptyStates, Badge, Input, Skeletons, helpers de plates/weight)"
src/App.tsx,69,performance,low,0.5,"useAuthStore() sin selectores en ProtectedRoute/AnimatedRoutes/AppRoutes (fix en curso)"
src/shared/components/ui/BottomSheet.tsx,67,performance,low,0.5,"backdrop-filter blur incondicional — jank en WebView Android (fix en curso)"
package.json,0,devops,low,0.2,"Script analyze usa 'MODE=analyze' (sintaxis Unix) — falla en Windows; usar cross-env"
android/app/src/main/java/com/franvi/gymlog/HealthBridgePlugin.kt,216,parity,medium,2,"readWorkouts no extrae distancia/calorías (iOS sí) + falta jump_rope (fix en curso)"
ios-custom/BiometricPlugin.swift,1,parity,medium,2,"Sin bloqueo biométrico al arrancar en iOS, Android sí lo tiene (fix en curso)"
capacitor.config.ts,1,parity,medium,1,"Sin @capacitor/keyboard — inputs tapados por teclado virtual (fix en curso)"
